Sarkı_Adı,Enstrümantallik,Ortalama_Enerji
York - Original Mix,0.887,0.634
Eleven,0.824,0.527
Warg,0.929,0.529
Pink Panther,0.898,0.708
Meanwhile in Rio,0.726,0.334
Pick Up,0.802,0.601
Forever Ravers - Radio Edit,0.627,0.92
Amnesiac,0.841,0.831
More - Extended Mix,0.734,0.454
Higher State Of Consciousness (Adana Twins Remix Two),0.894,0.966
Unity (Voyage Mix) Pt. 1,0.86,0.736
Grey,0.535,0.517
Thrown,0.648,0.34
Confronted - Anfisa Letyago Stranger Remix,0.719,0.543
Jupiter Sunrise,0.917,0.671
Time Again,0.857,0.865
Bonus Beat 3,0.972,0.536
Cloches,0.907,0.516
Conscious,0.833,0.733
We Bring It,0.667,0.913
Evolution - Original Mix,0.877,0.879
Happiness Lies,0.897,0.577
Pale Skin,0.956,0.354
Entrudo,0.912,0.404
Is,0.878,0.467
Tesla,0.937,0.528
Schaltzentrale - Joker Remake,0.733,0.748
La Forma Más Pura,0.777,0.937
Resynthesis 3D (Binaural Version - Headphones Only),0.924,0.612
Flash - Marco Faraone Remix,0.81,0.881
Monte Rosa,0.852,0.507
Shaker,0.914,0.528
Go Loco - Original Mix,0.88,0.497
Pianista - Original Club Mix,0.908,0.931
Third Eye,0.909,0.859
Global Player,0.871,0.397
Little Treasure (Contour 3),0.842,0.85
EASY PREY,0.863,0.735
Tief,0.72,0.431
Naif,0.86,0.678
Brian's Proper Dun One,0.875,0.965
Gaia,0.917,0.879
Body Language,0.907,0.671
Reverse,0.606,0.955
Antigone (Yotto Remix),0.839,0.827
Deceive,0.9,0.679
Muyè - Black Coffee Remix,0.888,0.666
Conjure Sex,0.754,0.586
Black Rose,0.943,0.683
Blurred - Bonobo Remix,0.865,0.629
Visitor,0.885,0.663
Marimba,0.878,0.598
District Seven (Broken Mix),0.733,0.486
Talis,0.674,0.829
Ketuvim - Ae:ther Remix,0.899,0.741
Love Somebody Else,0.712,0.758
The Most,0.851,0.731
Mars 500,0.907,0.676
Marionette - Stephan Bodzin Remix,0.88,0.796
8000,0.893,0.92
Fräulein Smilla,0.938,0.385
A Golden Rush,0.752,0.543
Symbiosis,0.864,0.874
Bali,0.834,0.855
Epoque,0.749,0.722
Membrane,0.894,0.863
Gravy Train - Nicolas Jaar Remix,0.888,0.347
Bright Lights,0.856,0.68
Paniklevel,0.892,0.533
Eterna,0.87,0.897
Summer Feeling - Short Edit,0.869,0.879
Confide (Contour 1),0.922,0.764
Future,0.895,0.771
A Night Like This - Richie Hawtin's A Dub Like That Remix,0.635,0.442
Corrosion (Contour 2),0.909,0.77
Confide (Contour 1) - Booka Shade Rework,0.915,0.591
Sirens,0.911,0.884
Samstags kurz ausgehn,0.798,0.72
Instinct,0.827,0.865
Surf Slide Minimal - Club Edit,0.9,0.874
Sauerkraut,0.842,0.668
Per Aspera ad Astra,0.925,0.472
Tiergarten (Zoo) - Club Edit,0.824,0.861
Her Ups and Downs,0.868,0.747
I'm Solo,0.804,0.682
Together,0.899,0.815
Second Sun,0.848,0.409
Aquiver - Original Mix,0.874,0.904
Intro,0.881,0.334
1825,0.819,0.453
Wadim (Pantha du Prince Remix),0.8,0.487
No Silence,0.775,0.635
Petite,0.769,0.598
Shiver - 8Kays Remix,0.838,0.752
The Third Degree - Aera Remix,0.841,0.926
When the Lights Are Out,0.771,0.861
High Priest feat. And.ID - Whitesquare Remix,0.901,0.87
Astronautin,0.86,0.732
Half Age,0.83,0.632
Hommage,0.886,0.332
Lockjaw,0.75,0.46
Zulu,0.873,0.612
On His Way,0.903,0.754
By the Brook,0.828,0.413
Ringo,0.916,0.628
Eye I Eye - Original Mix,0.889,0.658
Take Me Into Your Skin,0.871,0.418
Instance Of Time,0.606,0.684
First Contact,0.863,0.648
Be F.L.A.M.E.,0.867,0.67
Dont Go Away - Zombie Disco Squad Remix,0.599,0.564
Astronautin - Hernan Cattaneo & Soundexile Remix,0.84,0.742
Game Over,0.845,0.633
Fünffleck-Widderchen,0.898,0.643
Driving Blind,0.898,0.749
Elfenbein-Flechtenbärchen,0.856,0.506
Panther - Format:B Remix,0.841,0.934
Broke - Extended Mix,0.528,0.873
Arms of Mine,0.869,0.367
Techno Monkey,0.713,0.486
Lys (feat. Menke),0.814,0.351
Real Love,0.745,0.854
Fixi,0.848,0.668
Collider,0.899,0.626
Growl,0.887,0.641
Dirty Lagoon,0.899,0.99
Bush,0.627,0.883
Participants,0.825,0.653
No Goodbye - Extended Version,0.599,0.543
Cameo,0.859,0.824
Strange Dreamz,0.862,0.81
Drift,0.631,0.421
Another Side,0.907,0.318
Dark Market - Original Mix,0.879,0.964
Too Little Too Late (feat. Underworld),0.507,0.726
Perfect in a Way - Ben Böhmer Remix Edit,0.565,0.714
Rose - Solomun Remix,0.773,0.725
Nightlife,0.701,0.759
Werewolf Disco Club,0.821,0.923
Elephant Shunned,0.63,0.624
The Six Degrees Theory,0.613,0.412
Rattle,0.776,0.8
Freefall,0.926,0.535
In The Garden,0.884,0.606
18th Hour - Milos Ilic & Oliver Petkovski Remix,0.897,0.827
Range,0.879,0.31
Technotifiziert,0.902,0.589
Obscurus Sanctus - Original Mix,0.874,0.694
Tractor - Club Edit,0.912,0.861
Just Feels Far - Club Edit,0.869,0.897
Freak On,0.866,0.592
Unterton,0.866,0.773
Lock Me High - Helmut Wintermantel Mix,0.832,0.931
Lost in the Silverbox,0.876,0.956
Underlying - Madben Remix,0.91,0.669
Witch Dance - Club Edit,0.64,0.882
DRUM GLOW,0.913,0.906
"2,20 Minutes Foot Walk - Club In Motion Mix",0.529,0.744
Melodische Schieflage - Techno Minimal Bomb Mix,0.925,0.919
Say Something Do Nothing - New Master Cut Mix,0.804,0.814
Countach - Kölsch Remix,0.76,0.661
Waste Tomorrow,0.679,0.402
Mistral - Stephan Bodzin Remix,0.924,0.529
Ry - Edit,0.934,0.612
North Star,0.904,0.718
Serenity,0.923,0.874
Connect One,0.822,0.519
Lightning Over Heaven,0.835,0.75
The Hound,0.786,0.465
The Sea Inside,0.809,0.662
Sorry I Am Late - Summer 2016 Version,0.647,0.431
Cliff - Einmusik Remix,0.885,0.842
Dark Matter,0.886,0.607
U Said U,0.922,0.651
Cloud Rider,0.777,0.376
Pegasus,0.873,0.525
Perfect in a Way - Casper Cole Remix,0.847,0.723
My Love,0.823,0.767
Hear Your Love (Mix Cut),0.785,0.857
Prism,0.935,0.761
Burn In Hell,0.839,0.842
Frequenzfett,0.831,0.741
Dusty,0.933,0.783
Learning To Love,0.926,0.488
Two Steps from Heaven,0.679,0.924
Prospecitive Journeys,0.932,0.566
On The Mend,0.936,0.738
Take A Ride,0.694,0.534
Blurred - Mixed,0.874,0.515
Don't Worry - Original,0.627,0.336
Card House,0.828,0.403
Free for All - Soundstream Remix,0.89,0.803
Shine - Original Mix,0.824,0.825
Amnesia Ibiza Underground 10 DJ Mix,0.84,0.728
Far Away,0.873,0.419
Mono Play,0.94,0.415
Game Over,0.865,0.669
Walking on Moonlight - Short Cut,0.874,0.679
Groove Catcher,0.96,0.713
Lazer Beams,0.831,0.899
Monument - Stephan Bodzin Remix,0.863,0.673
Jardin,0.904,0.661
HAL,0.815,0.927
Astro,0.861,0.935
Forever Ravers,0.751,0.863
Boavista,0.905,0.639
Eternity,0.691,0.632
Nu World,0.626,0.774
Open Book - Original Mix,0.924,0.856
No Road Without a Turn,0.719,0.409
Consciousness,0.898,0.932
What Is Real - Deep in the Playa Mix,0.626,0.667
Nikki,0.929,0.652
Bocat,0.857,0.581
Ye,0.836,0.965
What To Do - (Mixed),0.751,0.586
The Oracle,0.889,0.55
Movin' On,0.716,0.641
Boy Boy Boy - MK Remix,0.703,0.836
Full Moon - Original Mix,0.833,0.736
A - Live at Malmö Live 2019,0.749,0.669
In My House - Original Mix,0.923,0.938
Here We Go Again Mamazita,0.792,0.415
That Would Be the Sun,0.915,0.921
Bomb,0.943,0.678
Sleepygirl 8,0.836,0.445
Feel It,0.968,0.757
Afrika,0.958,0.583
Whispering Of Knives﻿,0.879,0.307
Brumaire,0.874,0.811
Turn A Light On,0.799,0.555
Twelve Miles High,0.883,0.85
Don - Radio Edit,0.842,0.888
Cerulean,0.838,0.682
Raider - Mixed,0.883,0.974
City Sphere,0.925,0.648
The Winter Hymn,0.93,0.575
Brooklyn Hangover,0.955,0.835
Hinterland,0.779,0.867
Dancing Days,0.83,0.697
Satellite Snyper,0.867,0.469
Terror Acid,0.894,0.995
Hype,0.794,0.947
Held,0.95,0.297
Zora,0.766,0.598
Feist,0.87,0.886
A Thousand Nights,0.938,0.534
Stay With Me,0.869,0.78
Caramel,0.862,0.699
Five/Four,0.913,0.867
Dark Side of My Room,0.9,0.425
In The Morning - Yubik Remix,0.776,0.505
State Of Art - Ryan Elliott Dub,0.972,0.832
Planning,0.829,0.687
Love Inc,0.849,0.736
Lost In Dreams - Joyhauser Remix,0.88,0.989
Waiting For,0.725,0.591
Halo,0.902,0.528
Joker,0.731,0.86
Gang Boy - Original Mix,0.847,0.813
Something Broke,0.851,0.677
Oure Love,0.954,0.631
She,0.862,0.621
Water,0.926,0.557
Aribaba - Original Mix,0.818,0.555
La Esquina,0.898,0.745
Omen,0.964,0.528
Spreading Plague - Perc Remix,0.858,0.744
Keep It Movin - Original Mix,0.904,0.495
Crossing The Mirror,0.817,0.731
Music To Interogate By,0.887,0.667
Honey and the Sunlight,0.842,0.811
Hearts & Hands,0.58,0.673
Ntmyt,0.883,0.689
Free Fall - Alex Arnout Remix,0.882,0.905
The Sound of Nature - Zweite Heimat Mix,0.878,0.711
Just Feels Far - Club Mix,0.893,0.725
Communications from the Lab,0.818,0.694
Welcome Back Devil,0.926,0.96
Space Date,0.715,0.879
Desert - Kohra Remix,0.843,0.641
Tempest,0.852,0.705
So Weit Wie Noch Nie,0.593,0.563
9 Days - Extended Mix,0.525,0.492
Go,0.838,0.656
Adrenaline Machine,0.844,0.718
Mango,0.918,0.548
Beirut,0.929,0.375
Storm,0.66,0.417
Flashbang,0.816,0.974
Shipwreck,0.766,0.709
Forgive Me If I Bleed,0.896,0.313
The Weight,0.611,0.476
The Earthquake,0.761,0.897
Midfield,0.871,0.654
210409.1,0.904,0.961
Kiki - Solomun Remix,0.851,0.597
User,0.54,0.727
Metalife,0.89,0.875
Spikor,0.926,0.83
Navigator - (Original Mix),0.941,0.866
Is That Hurt,0.87,0.947
Schwindelig - Original,0.587,0.517
Gosamper - Max Chapman Remix,0.829,0.898
Hidden Empire,0.919,0.598
Run Coward Run,0.886,0.937
Intruder,0.713,0.769
Civilist,0.913,0.599
Under,0.845,0.929
Wish,0.515,0.832
Free Society - Hector Oaks aka Cadency Heartcore Remix,0.923,0.855
Polyglot Blues,0.803,0.776
Amazing Discoveries,0.867,0.357
Take Two,0.76,0.9
The Tribe,0.942,0.974
Edge of Tomorrow - Original Mix,0.919,0.794
MORE LOVE,0.736,0.855
Shark Island - Paul Kalkbrenner Remix,0.74,0.574
Alles klar! Ist der Beat schon da! Wir tanzen Hoppsasa! - Kraftbrenner Remix,0.892,0.892
Amor Sem Barreira,0.773,0.694
Ave Maria - Ao vivo,0.942,0.839
Não Venha Pela Metade,0.528,0.77
Pot-Pourri: Amor Estou Sofrendo / Que Nem Iôiô / Doce Inimigo - Ao vivo,0.755,0.818
Sinal Fechado,0.711,0.184
Calor da Rua,0.51,0.593
Mariage d'Amour,0.941,0.178
Sunset Bird,0.936,0.191
Mea Culpa,0.61,0.762
River Flows In You,0.937,0.285
One Man's Dream,0.975,0.115
A Taste Of Snow,0.897,0.314
Jingle Bells,0.951,0.0958
Winter Waltz - 2020 Version,0.945,0.0885
Amber Glow,0.872,0.0942
"Mary, Did You Know?",0.908,0.091
Marble Halls,0.757,0.0921
The Little Drummer Boy,0.872,0.0709
O Christmas Tree,0.928,0.131
Away In The Manger,0.941,0.119
I Heard The Bells On Christmas Day,0.875,0.0465
Coventry Carol,0.905,0.039
O Come O Come Emmanuel,0.791,0.0724
I'll Be Home For Christmas,0.877,0.0657
Angels We Have Heard On High,0.93,0.0845
"Believe - From \""The Polar Express\""",0.924,0.11
Farewell Song,0.891,0.177
What Child Is This,0.793,0.265
Song for Sienna,0.929,0.0652
"The Orchestra Tubular Bells Part 1 \""The Exorcist\"" - Live At Sumida Triphony Hall / 2006",0.875,0.126
Linus And Lucy,0.814,0.599
"Loneliness (From \""Naruto\"")",0.927,0.0505
Arrival of the Birds,0.825,0.2
"Hymn to the Sea (From \""Titanic\"")",0.947,0.0794
Reminiscent,0.923,0.245
So This Is Love,0.871,0.234
We Contain Multitudes — piano reworks,0.889,0.0287
Perfect,0.948,0.145
Back To The Rivers Of Belief: Way To Eternity / Hallelujah / The Rivers Of Belief,0.755,0.356
Truth of Touch,0.934,0.647
Thirst for Life,0.933,0.723
"The Name of Life - Felt Piano Version (From \""Spirited Away\"")",0.955,0.0652
A Thousand Years (Piano Version),0.929,0.0831
Until the Last Moment - Live,0.883,0.258
May Be,0.879,0.124
Through the Arbor,0.836,0.0797
In The Morning Light,0.903,0.131
Song From A Secret Garden - Piano Solo Version,0.957,0.0467
Kiss the Rain - Orchestra Version,0.897,0.22
Crystal Mist,0.949,0.108
I Feel my Saviors Love,0.904,0.114
Safe and Sound,0.91,0.00847
O Holy Night,0.927,0.164
Keep the Commandments,0.886,0.0472
The Great Pumpkin Waltz,0.859,0.0939
Returning,0.894,0.064
Mountain Forests (30th Anniversary Edition),0.655,0.346
Long: Porcelain,0.957,0.0949
"G Minor Bach (From \""Piano Tiles 2\"")",0.917,0.27
Shadows In Silence,0.964,0.467
Invisible Love,0.865,0.538
"Comptine d'un autre été: l'Après-midi (from \""Amélie\"")",0.918,0.0764
"The Secret Wedding - Love Theme From \""Braveheart\""",0.895,0.179
The Dream Of The Dolphin,0.565,0.126
Once Upon a December (from Anastasia),0.929,0.173
May Be,0.87,0.159
"For the Love of a Princess / Hymn to the Sea / Wallace Courts Murron (Music from the Original Motion Pictures \""Braveheart\"" and \""Titanic\"")",0.932,0.0253
Dervish Dream,0.891,0.534
You Are the Reason - Instrumental,0.938,0.236
Adagio,0.771,0.328
Love Me,0.933,0.254
The Promise,0.771,0.161
A Beautiful Thing,0.904,0.168
Sunset Bird - Piano Septet Version,0.853,0.224
Spirit of Grace,0.887,0.19
Song From A Secret Garden,0.878,0.303
Keys to Imagination - Live,0.535,0.568
The Rain Must Fall - Live,0.591,0.88
Reminiscent of Days - Orchestra Version,0.867,0.275
Nocturnal Mind in d Minor - Piano Septet Version,0.885,0.171
Lament,0.886,0.0128
Somewhere Over The Rainbow,0.924,0.0604
Mariage D'Amour,0.846,0.199
Beyond the Horizon,0.937,0.219
The Cascades,0.849,0.0545
Streams of Consciousness,0.925,0.0409
Introspection,0.847,0.0373
Father in Heaven,0.893,0.209
Young Man's Fancy,0.949,0.0498
Prelude in F,0.967,0.107
This is God's House,0.96,0.0511
Oh what do you do in the Summertime,0.924,0.199
"Joy, Hope, and Peace",0.944,0.0555
Room With A View,0.92,0.235
"Una Mattina (from \""The Intouchables\"")",0.839,0.076
"Sadness and Sorrow (From \""Naruto\"")",0.954,0.0712
The Sun,0.915,0.219
Love Me,0.868,0.137
Fairy Tale,0.899,0.183
Enchantment,0.94,0.139
Waltz in C Minor (Only for Piano),0.912,0.0725
The Approaching Night,0.902,0.0997
Lotus,0.903,0.231
Returning to Now,0.529,0.251
A Celtic Dream,0.896,0.319
Spiral Dance,0.944,0.204
Spirit of the Earth,0.804,0.623
Drifting Through Time and Space,0.777,0.183
Beethoven's Silence,0.964,0.272
Room With a View - Piano Septet Version,0.8,0.25
La Fotografia - Orchestra Version,0.887,0.243
O Come Little Children/We'll Dress The House,0.928,0.102
Lesiem,0.801,0.6
Touching Softness,0.956,0.139
Offering,0.931,0.0981
Carried Away,0.622,0.0455
Streams of Hope,0.698,0.144
Finale of the Rose,0.909,0.0679
Returning Home,0.911,0.267
Mysterious Way,0.935,0.0649
Unwinding Stream,0.8,0.211
Infinite Calm,0.875,0.11
Hidden Pathways,0.943,0.122
Making A Way,0.544,0.00282
Dammerschein,0.796,0.0542
Betty's Song,0.921,0.0752
Reflections of Clouds,0.885,0.0212
Bonus Track,0.711,0.00831
Remembering You,0.92,0.132
Once In a Dream,0.875,0.268
"You're in Love, Charlie Brown",0.857,0.295
Berrylands Rd.,0.937,0.0519
Nostalgia,0.923,0.479
Autumn Finds Winter,0.798,0.223
Into the Deep Blue,0.825,0.918
Silence Must Be Heard,0.564,0.83
Pachelbel's Canon in D,0.926,0.184
20.000 Miles Over The Sea,0.894,0.535
The Primal Gods,0.801,0.185
Softly on the Field,0.907,0.0709
Stunningly Beautiful,0.939,0.0299
River Flows In You,0.949,0.242
To Take ...To Hold,0.948,0.135
A Beautiful Distraction,0.913,0.118
Two As One,0.978,0.0567
In The Mirror,0.95,0.21
Forever Reign,0.89,0.0833
Gymnopedie No.1,0.878,0.0832
Oh Come All Ye Faithful,0.845,0.17
"River Dawn, Part 1",0.912,0.0126
Kai Forest,0.881,0.00136
Symmetry,0.774,0.0768
Anna,0.91,0.0497
Ancient Harbor,0.89,0.415
Adventurous Spirit,0.925,0.241
London Bridge,0.92,0.0616
"Row, Row, Row, Your Boat",0.951,0.042
Dreaming,0.949,0.0294
Gentle Touch,0.673,0.0679
Restless Hope,0.9,0.113
Lion and Sheep,0.69,0.726
Woodland Meditation,0.678,0.151
Shichuu no Michi,0.6,0.482
Memoir,0.742,0.155
Freedom For The Stallion,0.901,0.176
Helen Jane Long : Porcelain : Turn Away,0.899,0.0566
Gentle Wind,0.944,0.0785
Crossroads,0.855,0.298
Preludio Al Vento,0.863,0.128
Coqui Sutra,0.71,0.115
Far Away,0.924,0.0359
Passing By,0.863,0.133
Talking to Nature (Live at Mandali),0.802,0.165
Andantino,0.551,0.281
Pachelbel's Canon in D,0.831,0.0579
The Storm (Live),0.837,0.981
Perfect,0.947,0.145
In the Monterey Mist,0.884,0.0742
A Walk in the Rain,0.864,0.562
Poem+,0.866,0.101
Before I Go,0.944,0.135
The Cross Of Changes,0.711,0.142
For the Joy of It All,0.713,0.278
Between Mind & Heart,0.92,0.641
The Healing,0.974,0.147
When The Love Falls,0.937,0.158
Sundial Dreams,0.867,0.156
Lovesong from the Mountains,0.51,0.0878
Moonglow,0.946,0.0825
Believing in Miracles,0.911,0.192
Shadows for Walter de la Mare,0.694,0.214
Washed with Love,0.902,0.198
The Family,0.867,0.0866
Dreams and Memories,0.948,0.119
The True Path,0.79,0.186
Desert Solitude,0.592,0.0565
Cascades,0.699,0.197
I Need Thee Every Hour,0.893,0.0298
Hemingbough... A Prelude,0.961,0.174
Spirituelle Erneuerung,0.902,0.226
Moon-Silvered Clouds,0.96,0.0391
Waking Dreams,0.936,0.23
Hallelujah,0.896,0.187
Wandering,0.835,0.0547
Déjà Vu,0.922,0.361
Glow (Piano Version),0.906,0.154
Peace In Every Step,0.744,0.243
Goa Sunset,0.841,0.421
Eventide,0.962,0.0712
Touchness,0.74,0.565
Do You?,0.926,0.101
More Than All the Stars,0.946,0.141
The Monks of Lindisfarne,0.884,0.46
Almost A Whisper,0.886,0.11
Sacral Nirvana,0.889,0.683
Whispers In The Dark,0.949,0.0788
A Silent Wind,0.945,0.094
I Surrender All,0.916,0.015
Echoes,0.937,0.171
Excalibur,0.857,0.154
Ancient Dawn,0.939,0.263
Monsoon's Dance,0.914,0.407
"10,000 Hours (Instrumental Version)",0.926,0.187
57 Miles,0.91,0.305
Chain of Life,0.827,0.458
Lillies On The Lake,0.975,0.154
Reflecting Pool,0.898,0.119
Sound Of Wind Driven Rain,0.957,0.16
Dawn Mist - The Temple,0.936,0.0257
Secrets from the Sky,0.942,0.0767
"Der kleine Prinz, Pt. 2",0.793,0.0739
Sanctuary,0.937,0.137
It's a Small World,0.943,0.0999
Sakralchakra,0.933,0.0824
Softly Falling,0.896,0.0283
Sleep NREM Stage 1,0.869,0.068
"Come, Follow Me",0.922,0.0122
Earthensky,0.938,0.106
He's A Runner,0.903,0.00717
Graduation,0.915,0.0928
A Poor Wayfaring Man Of Grief,0.803,0.0898
Under the Trees of Hope,0.869,0.536
Chevaux,0.865,0.14
Ocean Rise,0.957,0.391
Blues For Richard Folsom,0.951,0.00217
Heart,0.919,0.0397
Experience,0.899,0.0829
If I Could Tell You,0.881,0.208
"The About Time Theme (from \""About Time\"")",0.903,0.0141
Gypsy,0.928,0.515
Entering Twin Falls,0.941,0.642
Sigh,0.908,0.0791
Wandering Soul,0.875,0.558
The End Of August,0.905,0.381
Gaze Upon the Beauty,0.914,0.0516
Chrysalis,0.966,0.213
Angels Sleep,0.918,0.0865
Ice and Fire,0.73,0.711
Country Road,0.783,0.181
'Tis So Sweet,0.825,0.172
Fly,0.898,0.1
The Listening Wind,0.896,0.13
The Reckoning,0.758,0.191
Big Thing In The Sky,0.825,0.00571
Shepherd Me,0.917,0.138
Sacred Head Wounded / Power of the Cross / There Is a Fountain,0.872,0.0441
Floating to Forever,0.947,0.324
Song for Sienna,0.872,0.226
Where Rivers Run,0.878,0.0865
The Hanging Road,0.911,0.143
Silent Alchemy,0.977,0.031
Flight of the Eagle (Piano and Cello),0.825,0.225
It's About the Rose in the Vase on the Table,0.874,0.137
Infinite Expansion,0.915,0.0823
Mystic Blue,0.868,0.0923
Angel Eyes,0.877,0.256
Summer's Child - Remastered,0.942,0.313
Sacred Symbols (Reprise),0.782,0.296
Vibrant Dusk,0.608,0.0747
Wahine Hololio,0.817,0.00873
Migration,0.883,0.141
Corcovado - Instrumental Version,0.927,0.268
"Seelische Traumreise zum Loslassen und Wohlfühlen, Pt. 2",0.867,0.206
Gagadju Life Force,0.859,0.105
Ningaloo,0.861,0.306
Journey to Peace - Rain Mix,0.981,0.38
Darkmere - Remastered 2003,0.539,0.387
Ike Ia Ladana - Queen's Jubilee,0.928,0.0279
Stay in Memory,0.874,0.34
Almost Full Moon,0.755,0.502
Once Upon a Dream,0.872,0.144
Eppur Si Muove,0.821,0.461
The Lake,0.87,0.0895
The Voice & The Snake,0.905,0.236
Prelude,0.793,0.21
Root Tones,0.978,0.0534
Ivory Hymn,0.945,0.0556
Wheel of Dreams,0.903,0.208
Temple of Silence,0.972,0.2
Melusina,0.906,0.201
Passing By,0.905,0.152
Waterfalling for You,0.921,0.143
A Broken Alphabet,0.859,0.161
Move the Clouds,0.931,0.0878
Twin Flames Rising,0.932,0.0597
Counting the Sand of the Sea,0.887,0.0274
Ready to Fly,0.836,0.413
Prelude,0.868,0.12
In The Mountain Air,0.814,0.213
A Winter's Night,0.814,0.107
Serenade To Spring,0.888,0.322
Resonance Blue,0.924,0.039
To The One Who Knows,0.916,0.186
Rocket to the Moon,0.834,0.275
Rock-A-Bye Baby,0.965,0.0901
Awakening Stars,0.87,0.113
At Midnight,0.895,0.0116
Warmer Sommerabend,0.769,0.025
Touching Love,0.979,0.148
Sleep NREM Stage 2,0.769,0.0649
Gentle Maiden,0.909,0.0486
My Galician Fantasies,0.834,0.184
A New Beginning,0.949,0.00186
Sienna Sky,0.816,0.146
"Twinkle, Twinkle, Little Star",0.81,0.176
In Their Gentle Presence,0.774,0.143
Floodplain,0.697,0.143
By the Grace of the Sea,0.93,0.126
Papillon (On The Wings Of The Butterfly),0.761,0.281
Shapes of Mystery,0.709,0.601
Deserk Oak,0.953,0.128
Battles - Remastered 2003,0.911,0.225
November Sky,0.955,0.541
Sacred Mountain,0.909,0.0964
Briarcombe,0.881,0.153
Time of Love,0.75,0.481
To the Summit,0.863,0.427
The End of the Day,0.868,0.126
Autumn Colors,0.935,0.0156
Looking Back,0.903,0.087
It's Your Day,0.915,0.203
Fly Away Lullaby,0.944,0.11
Where We Used To Play,0.931,0.0494
Morning Has Broken,0.906,0.091
The Last Day of April,0.925,0.156
In A Lover's Eyes,0.945,0.093
Simple Things,0.759,0.0705
Green Mountain Trail,0.92,0.283
The Edge of a Petal,0.907,0.059
Spirit of Water,0.942,0.211
Butterfly Waltz,0.899,0.185
Dawn,0.596,0.00219
Awakening,0.922,0.00848
Tenderness,0.89,0.258
Violet Waves,0.969,0.352
If You Believe,0.758,0.273
On Gentle Waves,0.856,0.127
Timeless and Free,0.963,0.306
Hollow Bamboo 2,0.62,0.00789
Free Fall - Remastered,0.905,0.363
If I Could,0.867,0.122
Yellow Submarine,0.861,0.0566
The Green Glens Of Antrim,0.854,0.114
Divine Secrets,0.943,0.019
The Beckoning Sea,0.862,0.406
Sunrise on the Sea,0.889,0.0742
Dawn in the Valley,0.556,0.102
Angel,0.942,0.0106
A Distant Shade of Green,0.915,0.242
Pua Sadinia (Not To Be Forgotten),0.911,0.0142
Monterey,0.915,0.185
The Joy of Quiet,0.963,0.156
Reflections,0.668,0.111
Ocean Moods,0.847,0.172
Embrace of Silence,0.912,0.0156
Blue Dream (Softly),0.915,0.0264
f r a m e d - Piano Version,0.913,0.264
Bumblebeat,0.877,0.684
irreplaceable,0.935,0.0747
A Place Without Words,0.786,0.145
Fotografia,0.882,0.271
Cloud Forest,0.868,0.152
Reconciliation,0.785,0.0952
Now We Are,0.833,0.218
For Carmine,0.95,0.231
Prelude: Stillness,0.842,0.00298
Return To The Heart,0.916,0.09
Hearts of Fire,0.757,0.0697
Heartmagic,0.911,0.038
"Feather Theme (From \""Forrest Gump\"")",0.855,0.0545
The Wheel,0.769,0.418
Sleep NREM Stage 3,0.778,0.134
Improvisation: Friedensengel (Angel Of Peace),0.682,0.00638
Dancing on the Clouds (instrumental),0.816,0.191
Village Moon,0.54,0.0167
Dolphin Dreams,0.963,0.0695
"The Fairy Ring, Part 1 - Remastered",0.959,0.258
Rock-a-Bye Baby,0.904,0.0322
Más Que Nada,0.565,0.425
Watery Illumination,0.842,0.0863
Perchance To Dream,0.544,0.138
Jessica's Theme (from The Man from Snowy River),0.879,0.0368
Morning Light,0.666,0.144
Balance,0.826,0.238
The Moment In Which You Must Finally Let Go Of The Tether Which Has Held Your Hope Airborne,0.582,0.0785
He Is Risen,0.894,0.202
Angels of the Reef,0.741,0.11
The Stone (Close Up),0.973,0.307
"Pacific Treefrog, Winter Wren, Varied Trush, Fox Sparrow, Robin",0.926,0.00919
"Seelische Traumreise zum Loslassen und Wohlfühlen, Pt. 10",0.884,0.209
Rendezvous,0.874,0.178
Bon Voyage,0.855,0.102
Lost In Nothingness,0.952,0.132
Walking In The Forest,0.919,0.128
Waltz in E Minor (For Cello),0.907,0.11
Alhambra (Prelude),0.94,0.249
Ballade Pour Adeline,0.945,0.203
Walk With Me (Piano / Cello Version),0.819,0.15
Keeper of Mystery,0.949,0.666
Wait There,0.931,0.15
Voyage,0.907,0.494
Windsong,0.955,0.176
Calm Center,0.95,0.081
Blessed Path,0.815,0.136
"River Dawn, Part 7",0.937,0.0237
Wildflowers,0.893,0.15
Romance for Violin and Orchester,0.942,0.235
"River Dawn, Part 8",0.877,0.03
Far Beyond Yon Mountain,0.873,0.0271
Ascending,0.957,0.229
Silent Night,0.91,0.0747
Realms of Splendor,0.964,0.094
Spleen Chakra,0.96,0.0751
Don't Forget Me,0.935,0.0923
Molly,0.884,0.0243
"River Dawn, Part 4",0.911,0.0302
Tree Of Life,0.936,0.0766
Embraced,0.869,0.0378
The Essence of Being,0.7,0.224
Sweet Hour of Prayer / Did You Think to Pray?,0.947,0.086
If I Fell (In Love with You),0.949,0.0349
Whispering Sands,0.769,0.0884
"Compassion, Pt. 2",0.946,0.14
"In Humility, Our Savior",0.865,0.13
Frere Jacques - Are You Sleeping,0.882,0.101
Seeker,0.733,0.228
"Jesus Of Nazareth, Savior And King",0.918,0.0256
How Gentle God's Command,0.901,0.125
The Fairy Queen - Remastered 2003,0.933,0.0872
Prelude in G Minor,0.924,0.0822
Letter - Winter Version,0.919,0.0569
Indigo,0.921,0.178
